* Currently node departure ,arrival and passing time after scheduling
* Node ID, Departure Time (sec), Arrival Time (sec), Passing Time (sec)
N8,0,29405,0
N8,0,29525,0
N8,0,29705,0
N8,0,29825,0
N8,0,30005,0
N8,0,30305,0
N8,0,30425,0
N8,0,30725,0
N8,0,30905,0
N8,0,31085,0
N8,0,31205,0
N8,0,31385,0
N8,0,31805,0
N8,0,31985,0
N8,0,32225,0
N8,0,32811,0
N8,0,33111,0
N8,0,33785,0
N8,0,33905,0
N8,0,34145,0
N8,0,34325,0
N8,0,34865,0
N8,0,35465,0
N8,0,36351,0
N8,0,36470,0
N8,0,36605,0
N8,0,36965,0
N8,0,37385,0
N8,0,37565,0
N8,0,37685,0
N8,0,37925,0
N8,0,38105,0
N8,0,38405,0
N8,0,38585,0
N8,0,38825,0
N8,0,39005,0
N8,0,39245,0
N8,0,39365,0
N8,0,39545,0
N8,0,40205,0
N8,0,40325,0
N8,0,40445,0
N8,0,40625,0
N8,0,41165,0
N8,0,41457,0
N8,0,41825,0
N8,0,42117,0
N8,0,42235,0
N8,0,42537,0
N8,0,42655,0
N8,0,43085,0
N8,0,44187,0
N8,0,44945,0
N8,0,45125,0
N8,0,45305,0
N8,0,45425,0
N8,0,45845,0
N8,0,46025,0
N8,0,47511,0
N8,0,47645,0
N8,0,47825,0
N8,0,48005,0
N8,0,48365,0
N8,0,48485,0
N8,0,48665,0
N8,0,48845,0
N8,0,48965,0
N8,0,49085,0
N8,0,49371,0
N8,0,49490,0
N8,0,49610,0
N8,0,49730,0
N8,0,49850,0
N8,0,49970,0
N8,0,50090,0
N8,0,50210,0
N8,0,50330,0
N8,0,50525,0
N8,0,50645,0
N8,0,50765,0
N8,0,50945,0
N8,0,51065,0
N8,0,51485,0
N8,0,51842,0
N8,0,51960,0
N8,0,52080,0
N8,0,52200,0
N8,0,52320,0
N8,0,52440,0
N8,0,52560,0
N8,0,54125,0
N8,0,54305,0
N8,0,54485,0
N8,0,54605,0
N8,0,54785,0
N8,0,55325,0
N8,0,55685,0
N8,0,55985,0
N8,0,56405,0
N8,0,56585,0
N8,0,57125,0
N8,0,57305,0
N8,0,57605,0
N8,0,57905,0
N8,0,58265,0
N8,0,58385,0
N8,0,58505,0
N8,0,58685,0
N8,0,58865,0
N8,0,59165,0
N8,0,59405,0
N8,0,59525,0
N8,0,59765,0
N8,0,60005,0
N8,0,60545,0
N8,0,60785,0
N8,0,60965,0
N8,0,61205,0
N8,0,61325,0
N8,0,61445,0
N8,0,61685,0
N8,0,61805,0
N8,0,61985,0
N8,0,62165,0
N8,0,62405,0
N8,0,62585,0
N8,0,62705,0
N8,0,63005,0
N8,0,63245,0
N8,0,63545,0
N8,0,63965,0
N8,0,64085,0
N8,0,64625,0
N8,0,64745,0
N8,0,65667,0
N8,0,65885,0
N8,0,66005,0
N8,0,66245,0
N8,0,66665,0
N8,0,66845,0
N8,0,67025,0
N8,0,67205,0
N8,0,67445,0
N8,0,67565,0
N8,0,67685,0
N8,0,67865,0
N8,0,68045,0
N8,0,68165,0
N8,0,68285,0
N8,0,68465,0
N8,0,68585,0
N8,0,68885,0
N8,0,69065,0
N8,0,69305,0
N8,0,69485,0
N8,0,69605,0
N8,0,69725,0
N8,0,69845,0
N8,0,69965,0
N8,0,70085,0
N8,0,70265,0
N8,0,70445,0
N8,0,70565,0
N8,0,70685,0
N8,0,70805,0
N8,0,70985,0
N8,0,71105,0
N8,0,71225,0
N8,0,71345,0
N8,0,71525,0
N8,0,71645,0
N8,0,71765,0
N8,0,71945,0
N8,0,72065,0
N8,0,72305,0
N8,0,72545,0
N8,0,72665,0
N8,0,72785,0
N8,0,72905,0
N8,0,73025,0
N8,0,73145,0
N8,0,73265,0
N8,0,73445,0
N8,0,73685,0
N8,0,73805,0
N8,0,73925,0
N8,0,74105,0
N8,0,74285,0
N8,0,74405,0
N8,0,74585,0
N8,0,74705,0
N8,0,74825,0
N8,0,75005,0
N8,0,75125,0
N8,0,75245,0
N8,0,75425,0
N8,0,75605,0
N8,0,75725,0
N8,0,76025,0
N8,0,77105,0
N8,0,77405,0
N8,0,77585,0
N8,0,77765,0
N8,0,78005,0
N8,0,78125,0
N8,0,80105,0
N8,0,80451,0
N8,0,80585,0
N8,0,81245,0
N8,0,81818,0
N8,0,83727,0
N8,0,83991,0
N8,0,85731,0
N8,0,86345,0
N9,0,802,0
N9,0,1762,0
N9,0,2482,0
N9,0,3022,0
