* Link capacity after scheduling
* Link ID, Time (sec), Max Capacity, Count
gate27,43200,2,0
gate27,44897,2,1
gate27,44998,2,0
gate27,46800,2,0
gate27,49549,2,-1
gate27,49637,2,0
gate27,50400,2,0
gate27,54000,2,0
gate27,56452,2,1
gate27,56553,2,0
gate27,57600,2,0
gate27,61200,2,0
gate27,61249,2,-1
gate27,61337,2,0
gate27,64800,2,0
gate27,68400,2,0
gate27,69769,2,-1
gate27,69857,2,0
gate27,70370,2,1
gate27,70471,2,0
gate27,72000,2,0
gate27,75600,2,0
gate27,79200,2,0
gate27,82800,2,0
gate28,0,2,0
gate28,3600,2,0
gate28,7200,2,0
gate28,10800,2,0
gate28,14400,2,0
gate28,14689,2,-1
gate28,14757,2,0
gate28,18000,2,0
gate28,21600,2,0
gate28,22789,2,-1
gate28,22857,2,0
gate28,25200,2,0
gate28,26629,2,-1
gate28,26697,2,0
gate28,28800,2,0
gate28,31669,2,-1
gate28,31737,2,0
gate28,32400,2,0
gate28,36000,2,0
gate28,39555,2,1
gate28,39600,2,1
gate28,39633,2,0
gate28,43200,2,0
gate28,46800,2,0
gate28,48469,2,-1
gate28,48537,2,0
gate28,50400,2,0
gate28,54000,2,0
gate28,54720,2,1
gate28,54787,2,0
gate28,54843,2,-1
gate28,54911,2,0
gate28,57600,2,0
gate28,61200,2,0
gate28,61909,2,-1
gate28,61977,2,0
gate28,64800,2,0
gate28,68400,2,0
gate28,70481,2,1
gate28,70559,2,0
gate28,72000,2,0
gate28,74138,2,1
gate28,74217,2,0
gate28,75600,2,0
gate28,79200,2,0
gate28,82800,2,0
gate29,0,2,0
gate29,3600,2,0
gate29,7200,2,0
gate29,10800,2,0
gate29,14400,2,0
gate29,18000,2,0
gate29,21600,2,0
gate29,25200,2,0
gate29,28800,2,0
gate29,32400,2,0
gate29,32879,2,1
gate29,32947,2,0
gate29,36000,2,0
gate29,37140,2,1
gate29,37198,2,0
gate29,39600,2,0
gate29,41921,2,-1
gate29,41979,2,0
gate29,43200,2,0
gate29,46800,2,0
gate29,50400,2,0
gate29,51278,2,1
gate29,51346,2,0
gate29,54000,2,0
gate29,57600,2,0
gate29,58849,2,-1
gate29,58907,2,0
gate29,61200,2,0
gate29,64800,2,0
gate29,68400,2,0
gate29,69096,2,1
gate29,69163,2,0
gate29,72000,2,0
gate29,72441,2,1
gate29,72508,2,0
gate29,75600,2,0
gate29,79200,2,0
gate29,82800,2,0
gate30,0,2,0
gate30,3600,2,0
gate30,7200,2,0
gate30,10800,2,0
gate30,14400,2,0
gate30,18000,2,0
gate30,18096,2,-1
gate30,18165,2,0
gate30,21600,2,0
gate30,24087,2,-1
gate30,24156,2,0
gate30,25200,2,0
gate30,28800,2,0
gate30,32400,2,0
gate30,34455,2,1
gate30,34535,2,0
gate30,36000,2,0
gate30,37740,2,1
gate30,37809,2,0
gate30,39600,2,0
gate30,43200,2,0
gate30,45927,2,-1
gate30,45996,2,0
gate30,46800,2,0
gate30,50400,2,0
gate30,52560,2,1
gate30,52629,2,0
gate30,54000,2,0
gate30,56496,2,-1
gate30,56565,2,0
gate30,57600,2,0
gate30,59916,2,-1
gate30,59985,2,0
gate30,61200,2,0
gate30,64800,2,0
gate30,66423,2,1
gate30,66503,2,0
gate30,67536,2,-1
gate30,67605,2,0
gate30,68400,2,0
gate30,72000,2,0
gate30,75600,2,0
gate30,78471,2,1
gate30,78551,2,0
gate30,79200,2,0
